# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
147,1004,0.0000000000,1.0000002963,-0.9999996676,7.9971085071e+10
148,161,0.0000000000,-0.9999990389,-1.0000002963,3.8386525377e+10
148,1003,0.0000000000,-0.9999990389,0.9999977815,3.8386525377e+10
149,160,0.9999990389,0.0000000000,-0.9999990389,8.3120763698e+10
149,998,-0.9999996676,0.0000000000,-0.9999990389,8.3120763698e+10
150,159,-1.0000002963,0.0000000000,1.0000002963,1.4275161493e+11
150,997,0.9999977815,0.0000000000,1.0000002963,1.4275161493e+11
151,157,0.9999990389,0.0000000000,1.0000002963,3.8386525377e+10
151,999,-0.9999996676,0.0000000000,1.0000002963,1.4334321228e+10
152,158,-1.0000002963,0.0000000000,-0.9999990389,4.1298642124e+11
152,1000,0.9999977815,0.0000000000,-0.9999990389,4.1298642124e+11
153,165,-0.9999990389,0.9999990389,0.0000000000,1.1947870728e+12
153,1007,-0.9999990389,-0.9999996676,0.0000000000,4.1298642124e+11
154,166,1.0000002963,-1.0000002963,0.0000000000,4.1298642124e+11
154,1008,1.0000002963,0.9999977815,0.0000000000,4.1298642124e+11
155,168,1.0000002963,0.9999990389,0.0000000000,1.9364095514e+12
155,1006,1.0000002963,-0.9999996676,0.0000000000,4.1298642124e+11
156,167,-0.9999990389,-1.0000002963,0.0000000000,1.1275237820e+12
156,1005,-0.9999990389,0.9999977815,0.0000000000,7.6623211398e+11
157,151,-0.9999990389,0.0000000000,-1.0000002963,2.3489831238e+12
157,989,-0.9999990389,0.0000000000,0.9999977815,2.3489831238e+12
158,152,1.0000002963,0.0000000000,0.9999990389,4.1298642124e+11
158,990,1.0000002963,0.0000000000,-0.9999996676,4.1298642124e+11
159,150,1.0000002963,0.0000000000,-1.0000002963,1.1059549655e+12
159,992,1.0000002963,0.0000000000,0.9999977815,3.2754920976e+11
160,149,-0.9999990389,0.0000000000,0.9999990389,1.1947870728e+12
160,991,-0.9999990389,0.0000000000,-0.9999996676,4.1298642124e+11
161,148,0.0000000000,0.9999990389,1.0000002963,2.3489831238e+12
161,986,0.0000000000,-0.9999996676,1.0000002963,1.1059549655e+12
162,147,0.0000000000,-1.0000002963,-0.9999990389,7.9971085071e+10
162,985,0.0000000000,0.9999977815,-0.9999990389,7.9971085071e+10
163,145,0.0000000000,0.9999990389,-0.9999990389,1.4275161493e+11
163,987,0.0000000000,-0.9999996676,-0.9999990389,1.4275161493e+11
164,146,0.0000000000,-1.0000002963,1.0000002963,1.9364095514e+12
164,988,0.0000000000,0.9999977815,1.0000002963,1.1947870728e+12
165,153,0.9999990389,-0.9999990389,0.0000000000,8.3120763698e+10
165,995,-0.9999996676,-0.9999990389,0.0000000000,8.3120763698e+10
166,154,-1.0000002963,1.0000002963,0.0000000000,4.1298642124e+11
